location,link
"Pyramid Urban, Sector 67, Gurgaon",https://www.99acres.com/pyramid-urban-resale-in-sector-67a-gurgaon-551873-npffid
"Orchid Petals, Sector 49, Gurgaon",https://www.99acres.com/orchid-petals-sector-49-gurgaon-npxid-r12066
"M2K Aura, Sector 47, Gurgaon",https://www.99acres.com/m2k-aura-sector-47-gurgaon-npxid-r26920
"SS The Coralwood, Sector 84, Gurgaon",https://www.99acres.com/ss-the-coralwood-resale-in-sector-84-gurgaon-7588-npffid
"Ambience Lagoon, DLF Phase 3, Gurgaon",https://www.99acres.com/ambience-lagoon-dlf-phase-3-gurgaon-npxid-r28248
"M3M Golf Hills, Sector 79, Gurgaon",https://www.99acres.com/m3m-golf-hills-sector-79-gurgaon-npxid-r405181
"ATS Marigold, Sector 89, Gurgaon",https://www.99acres.com/ats-marigold-sector-89-a-gurgaon-npxid-r10548
"Ashiana Amarah, Sector 93, Gurgaon",https://www.99acres.com/ashiana-amarah-sector-93-gurgaon-npxid-r396809
"Shree Vardhman Flora, Sector 90, Gurgaon",https://www.99acres.com/shree-vardhman-flora-resale-in-sector-90-gurgaon-8332-npffid
"DLF The Belaire, Sector 54, Gurgaon",https://www.99acres.com/dlf-the-belaire-sector-54-gurgaon-npxid-r12
"Emaar Palm Gardens, Sector 83, Gurgaon",https://www.99acres.com/emaar-palm-gardens-sector-83-gurgaon-npxid-r1080
"Unitech Heritage City, Heritage City, Gurgaon",https://www.99acres.com/property-in-heritage-city-gurgaon-ffid
"Mapsko Royale Ville, Sector 82, Gurgaon",https://www.99acres.com/mapsko-royale-ville-sector-82-gurgaon-npxid-r1832
"Bestech Park View Ananda, Sector 81, Gurgaon",https://www.99acres.com/bestech-park-view-ananda-sector-81-gurgaon-npxid-r6464
"Mapsko Paradise, Sector 83, Gurgaon",https://www.99acres.com/mapsko-paradise-sector-83-gurgaon-npxid-r704
"DLF The Skycourt, Sector 86, Gurgaon",https://www.99acres.com/dlf-the-skycourt-sector-86-gurgaon-npxid-r6136
"DLF Carlton Estate, DLF Phase 5, Gurgaon",https://www.99acres.com/dlf-carlton-estate-dlf-phase-5-gurgaon-npxid-r26536
"Ireo The Corridors, Sector 67, Gurgaon",https://www.99acres.com/ireo-the-corridors-sector-67a-gurgaon-npxid-r6670
"Ansal Sushant Apartments, Sushant Lok Phase 1, Gurgaon",https://www.99acres.com/ansal-sushant-apartments-sushant-lok-phase-1-gurgaon-npxid-r62923
"Power Grid Township, Sector 43, Gurgaon",https://www.99acres.com/power-grid-township-sector-43-gurgaon-npxid-r29534
"La Lagune, Sector 54, Gurgaon",https://www.99acres.com/la-lagune-sector-54-gurgaon-npxid-r12072
"M3M Soulitude, Sector 89, Gurgaon",https://www.99acres.com/m3m-soulitude-sector-89-gurgaon-npxid-r378131
"Birla Navya, Sector 63, Gurgaon",https://www.99acres.com/birla-navya-sector-63a-gurgaon-npxid-r351013
"Orchid Gardens, Sector 54, Gurgaon",https://www.99acres.com/vipul-orchid-gardens-suncity-gurgaon-npxid-r12240
"Signature Global Solera, Sector 107, Gurgaon",https://www.99acres.com/signature-global-solera-sector-107-gurgaon-npxid-r84159
"Shree Ganesh Apartments, Sector 45, Gurgaon",https://www.99acres.com/shree-ganesh-apartments-sector-45-gurgaon-npxid-r26772
"Ansal Heights, Sector 92, Gurgaon",https://www.99acres.com/ansal-heights-sector-92-gurgaon-npxid-r37306
"Emaar Mgf Premier Terraces, Sector 66, Gurgaon",https://www.99acres.com/emaar-mgf-premier-terraces-sector-66-gurgaon-npxid-r25288
"Emaar Mgf Emerald Floors, Sector 65, Gurgaon",https://www.99acres.com/emaar-mgf-emerald-floors-sector-65-gurgaon-npxid-r554
"Puri Emerald Bay, Sector 104, Gurgaon",https://www.99acres.com/puri-emerald-bay-sector-104-gurgaon-npxid-r5456
"Raheja Sampada, Sector 92, Gurgaon",https://www.99acres.com/raheja-sampada-sector-92-gurgaon-npxid-r738
"Suncity Township, Sector 54, Gurgaon",https://www.99acres.com/suncity-township-resale-in-sector-54-gurgaon-20446-npffid
"Vipul Orchid Gardens, Sector 54, Gurgaon",https://www.99acres.com/vipul-orchid-gardens-suncity-gurgaon-npxid-r12240
"MRG World Ultimus, Sector 90, Gurgaon",https://www.99acres.com/mrg-world-ultimus-sector-90-gurgaon-npxid-r345611
